date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths,continent
2022/1/21,Namibia,130,18,155027,3902,1058,98,3510,204,Africa
2022/1/21,Nepal,8815,3,896584,11635,51083,22,65532,33,Asia
2022/1/21,Netherlands,57561,12,3787274,21277,278109,60,498090,137,Europe
2022/1/21,New Caledonia,341,0,15195,282,1659,1,2079,1,Oceania
2022/1/21,New Zealand,78,0,15479,52,478,0,954,1,Oceania
2022/1/21,Nicaragua,0,0,17604,219,41,1,78,1,North America
2022/1/21,Niger,0,0,8503,295,156,8,612,15,Africa
2022/1/21,Nigeria,359,7,251930,3124,1921,32,4921,54,Africa
2022/1/21,North America,1035942,4364,82239715,1267626,5854362,17429,12091045,31409,North America
2022/1/21,North Macedonia,2071,11,252947,8177,11296,94,21511,165,Europe
2022/1/21,Norway,24958,1,596613,1414,100301,33,161717,64,Europe
2022/1/21,Oceania,44202,81,2305985,5385,521722,470,1278762,777,Oceania
2022/1/21,Oman,,0,318272,4125,,6,,8,Asia
2022/1/21,Pakistan,6540,12,1360019,29077,39899,74,57533,115,Asia
2022/1/21,Palau,0,,208,,168,,190,,Oceania
2022/1/21,Palestine,1240,6,480583,5042,6349,37,9169,88,Asia
2022/1/21,Panama,11933,9,626890,7574,68214,74,109445,121,North America
2022/1/21,Papua New Guinea,0,0,36446,596,11,0,120,5,Oceania
2022/1/21,Paraguay,,,516555,16887,,,,,South America
2022/1/21,Peru,59470,126,2839519,203994,326730,692,496969,1013,South America
2022/1/21,Philippines,32605,156,3357083,53309,227571,494,446419,1438,Asia
2022/1/21,Poland,36664,248,4443217,103626,161735,1785,252024,4198,Europe
2022/1/21,Portugal,58530,49,2118125,19496,303558,259,540341,425,Europe
2022/1/21,Qatar,3204,0,317277,632,26063,9,53802,14,Asia
2022/1/21,Romania,19649,49,1983670,59477,97899,297,149881,506,Europe
2022/1/21,Russia,49127,677,10804032,318200,238548,4742,366561,9942,Europe
2022/1/21,Rwanda,428,6,127655,1428,3236,29,8234,61,Africa
2022/1/21,Saint Helena,0,,4,,0,,0,,Africa
2022/1/21,Saint Kitts and Nevis,49,0,5190,28,545,0,1286,0,North America
2022/1/21,Saint Lucia,424,0,18746,316,1777,2,4332,11,North America
2022/1/21,Saint Pierre and Miquelon,32,,630,,245,,517,,North America
2022/1/21,Saint Vincent and the Grenadines,0,0,6615,90,34,5,368,6,North America
2022/1/21,Samoa,0,,13,,10,,10,,Oceania
2022/1/21,San Marino,188,1,11466,107,1116,4,2371,4,Europe
2022/1/21,Sao Tome and Principe,13,1,5798,68,340,3,1382,6,Africa
2022/1/21,Saudi Arabia,4884,2,643211,8916,38539,13,70986,26,Asia
2022/1/21,Senegal,103,4,83855,1921,1987,17,5920,26,Africa
2022/1/21,Serbia,16403,30,1518024,13211,105436,185,183030,344,Europe
2022/1/21,Seychelles,,0,34367,143,,7,,9,Africa
2022/1/21,Sierra Leone,5,0,7572,125,72,0,190,2,Africa
2022/1/21,Singapore,10264,1,307813,846,17783,6,24599,11,Asia
2022/1/21,Slovakia,8190,57,1447067,17577,35499,389,56006,681,Europe
2022/1/21,Slovenia,9860,11,579480,5743,59766,52,96553,99,Europe
2022/1/21,Solomon Islands,0,,81,,56,,53,,Oceania
2022/1/21,Somalia,0,0,24322,1335,61,0,61,0,Africa
2022/1/21,South Africa,3519,103,3576379,93949,24336,832,62566,1697,Africa
2022/1/21,South America,452611,1043,45059559,1202908,2487823,5652,4372382,9155,South America
2022/1/21,South Korea,7005,28,726274,6529,38290,248,65259,543,Asia
